Entry name	Protein names	Status	Gene names  (primary )
BAG5_MOUSE	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	reviewed	Bag5
BCL2_RAT	Apoptosis regulator Bcl-2	reviewed	Bcl2
BAG5_RAT	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	reviewed	Bag5
ATX3_HUMAN	Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	reviewed	ATXN3
BCL2_CRIGR	Apoptosis regulator Bcl-2	reviewed	BCL2
BAG4_HUMAN	BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains)	reviewed	BAG4
BCL2_BOVIN	Apoptosis regulator Bcl-2	reviewed	BCL2
BCL2_MOUSE	Apoptosis regulator Bcl-2	reviewed	Bcl2
BAG5_BOVIN	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	reviewed	BAG5
BCL2_HUMAN	Apoptosis regulator Bcl-2	reviewed	BCL2
CL16A_MOUSE	Protein CLEC16A	reviewed	Clec16a
CHSS2_MOUSE	Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)	reviewed	Chpf
CISD1_RAT	CDGSH iron-sulfur domain-containing protein 1 (MitoNEET)	reviewed	Cisd1
CL16A_HUMAN	Protein CLEC16A (C-type lectin domain family 16 member A)	reviewed	CLEC16A
CHSS2_HUMAN	Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)	reviewed	CHPF
CISD1_HUMAN	CDGSH iron-sulfur domain-containing protein 1 (MitoNEET)	reviewed	CISD1
CISD1_BOVIN	CDGSH iron-sulfur domain-containing protein 1 (MitoNEET)	reviewed	CISD1
CISD1_MOUSE	CDGSH iron-sulfur domain-containing protein 1 (MitoNEET)	reviewed	Cisd1
FBX7_HUMAN	F-box only protein 7	reviewed	FBXO7
FKBP8_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (mFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	reviewed	Fkbp8
FBX7_RAT	F-box only protein 7	reviewed	Fbxo7
FBX7_BOVIN	F-box only protein 7	reviewed	FBXO7
FKBP8_RAT	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (FK506-binding protein 8) (FKBP-8) (Rotamase)	reviewed	Fkbp8
FBX7_MOUSE	F-box only protein 7	reviewed	Fbxo7
FKBP8_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	reviewed	FKBP8
GDAP1_BOVIN	Ganglioside-induced differentiation-associated protein 1 (GDAP1)	reviewed	GDAP1
GDAP1_HUMAN	Ganglioside-induced differentiation-associated protein 1 (GDAP1)	reviewed	GDAP1
GDAP1_MOUSE	Ganglioside-induced differentiation-associated protein 1 (GDAP1)	reviewed	Gdap1
GPR37_MOUSE	Prosaposin receptor GPR37 (G-protein coupled receptor 37)	reviewed	Gpr37
GPR37_RAT	Prosaposin receptor GPR37 (G-protein coupled receptor 37) (G-protein coupled receptor CNS1)	reviewed	Gpr37
GPR37_HUMAN	Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	reviewed	GPR37
HS71A_BOVIN	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70.1)	reviewed	HSPA1A
HS71A_HUMAN	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	reviewed	HSPA1A
HS71L_MACFA	Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L)	reviewed	HSPA1L
HSP71_CANLF	Heat shock 70 kDa protein 1	reviewed	HSPA1
HSP71_PONAB	Heat shock 70 kDa protein 1	reviewed	HSPA1
HSP7C_HUMAN	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	reviewed	HSPA8
HS71A_MOUSE	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 3) (HSP70.3) (Hsp68)	reviewed	Hspa1a
HS71B_HUMAN	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2)	reviewed	HSPA1B
HS71B_BOSMU	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70.2)	reviewed	HSPA1B
HS71L_PIG	Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L)	reviewed	HSPA1L
HS71A_RAT	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2)	reviewed	Hspa1a
HS71B_MOUSE	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 1) (HSP70.1)	reviewed	Hspa1b
HS71L_MOUSE	Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L) (Heat shock 70 kDa-like protein 1) (Spermatid-specific heat shock protein 70)	reviewed	Hspa1l
HS71B_BOVIN	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70.2)	reviewed	HSPA1B
HS71B_PIG	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70.2)	reviewed	HSPA1B
HS71L_BOVIN	Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L)	reviewed	HSPA1L
HS71L_HUMAN	Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L) (Heat shock 70 kDa protein 1-Hom) (HSP70-Hom)	reviewed	HSPA1L
HSP7C_PONAB	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	reviewed	HSPA8
HSP7C_SAGOE	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Intracellular vitamin D-binding protein 1)	reviewed	HSPA8
HS71A_PIG	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70.1)	reviewed	HSPA1A
HS71B_RAT	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	reviewed	Hspa1b
HS71L_MESAU	Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L) (Fragments)	reviewed	HSPA1L
HS71L_RAT	Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L) (Heat shock 70 kDa protein 3) (HSP70.3)	reviewed	Hspa1l
HSP7C_CRIGR	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	reviewed	HSPA8
HSP7C_BOVIN	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	reviewed	HSPA8
HSP7C_MOUSE	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	reviewed	Hspa8
HSP7C_RAT	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	reviewed	Hspa8
HSP71_CHLAE	Heat shock 70 kDa protein 1	reviewed	HSPA1
HSP7C_HORSE	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	reviewed	HSPA8
MARC2_PIG	Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.-.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2) (Fragments)	reviewed	MARC2
LRRK2_MOUSE	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1)	reviewed	Lrrk2
MARC2_BOVIN	Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.-.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)	reviewed	MARC2
MARC2_MOUSE	Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.-.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)	reviewed	Marc2
MARC2_HUMAN	Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.-.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)	reviewed	MARC2
MFN1_MOUSE	Mitofusin-1 (EC 3.6.5.-) (Transmembrane GTPase MFN1)	reviewed	Mfn1
MFN2_MOUSE	Mitofusin-2 (EC 3.6.5.-) (Hypertension-related protein 1) (Mitochondrial assembly regulatory factor) (HSG protein) (Transmembrane GTPase MFN2)	reviewed	Mfn2
MARC2_MACFA	Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.-.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)	reviewed	MARC2
MARC2_RAT	Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.-.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)	reviewed	Marc2
MFN1_HUMAN	Mitofusin-1 (EC 3.6.5.-) (Fzo homolog) (Transmembrane GTPase MFN1)	reviewed	MFN1
MFN2_RAT	Mitofusin-2 (EC 3.6.5.-) (Mitochondrial transmembrane GTPase FZO1A) (Protein HSG) (Transmembrane GTPase MFN2)	reviewed	Mfn2
MIRO1_HUMAN	Mitochondrial Rho GTPase 1 (MIRO-1) (hMiro-1) (EC 3.6.5.-) (Rac-GTP-binding protein-like protein) (Ras homolog gene family member T1)	reviewed	RHOT1
MFN1_RAT	Mitofusin-1 (EC 3.6.5.-) (Mitochondrial transmembrane GTPase FZO1B) (Transmembrane GTPase MFN1)	reviewed	Mfn1
MFN2_HUMAN	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	reviewed	MFN2
MIRO1_MOUSE	Mitochondrial Rho GTPase 1 (MIRO-1) (EC 3.6.5.-) (Ras homolog gene family member T1)	reviewed	Rhot1
MIRO1_BOVIN	Mitochondrial Rho GTPase 1 (MIRO-1) (EC 3.6.5.-) (Ras homolog gene family member T1)	reviewed	RHOT1
MTX1_HUMAN	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	reviewed	MTX1
MUL1_HUMAN	Mitochondrial ubiquitin ligase activator of NFKB 1 (EC 6.3.2.-) (E3 SUMO-protein ligase MUL1) (E3 ubiquitin-protein ligase MUL1) (Growth inhibition and death E3 ligase) (Mitochondrial-anchored protein ligase) (MAPL) (Putative NF-kappa-B-activating protein 266) (RING finger protein 218)	reviewed	MUL1
MTX1_BOVIN	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	reviewed	MTX1
MTX1_MOUSE	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	reviewed	Mtx1
MUL1_MACFA	Mitochondrial ubiquitin ligase activator of NFKB 1 (EC 6.3.2.-) (E3 ubiquitin-protein ligase MUL1)	reviewed	MUL1
MTX1_MACFA	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	reviewed	MTX1
MTX1_PIG	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	reviewed	MTX1
MUL1_MOUSE	Mitochondrial ubiquitin ligase activator of NFKB 1 (EC 6.3.2.-) (E3 ubiquitin-protein ligase MUL1) (Growth inhibition and death E3 ligase)	reviewed	Mul1
PACRG_MOUSE	Parkin coregulated gene protein homolog (Hypertension-related protein 1-like protein) (PARK2 coregulated gene protein)	reviewed	Pacrg
PARK7_BOVIN	Protein deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (Parkinson disease protein 7 homolog)	reviewed	PARK7
PARK7_RAT	Protein deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (Contraception-associated protein 1) (Protein CAP1) (Fertility protein SP22) (Parkinson disease protein 7 homolog)	reviewed	Park7
PARK7_HUMAN	Protein deglycase DJ-1 (DJ-1) (EC 3.1.2.-) (EC 3.5.1.-) (Oncogene DJ1) (Parkinson disease protein 7)	reviewed	PARK7
PDCD2_RAT	Programmed cell death protein 2 (Zinc finger protein Rp-8)	reviewed	Pdcd2
PCH2_HUMAN	Pachytene checkpoint protein 2 homolog (Human papillomavirus type 16 E1 protein-binding protein) (16E1-BP) (HPV16 E1 protein-binding protein) (Thyroid hormone receptor interactor 13) (Thyroid receptor-interacting protein 13) (TR-interacting protein 13) (TRIP-13)	reviewed	TRIP13
PDCD2_HUMAN	Programmed cell death protein 2 (Zinc finger MYND domain-containing protein 7) (Zinc finger protein Rp-8)	reviewed	PDCD2
PARK7_CHLAE	Protein deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (Parkinson disease protein 7 homolog)	reviewed	PARK7
PARK7_MESAU	Protein deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (Contraception-associated protein 1) (Parkinson disease protein 7 homolog) [Cleaved into: Protein deglycase DJ-1, N-terminally processed]	reviewed	PARK7
PDCD2_BOVIN	Programmed cell death protein 2	reviewed	PDCD2
PDCD2_MOUSE	Programmed cell death protein 2 (Zinc finger protein Rp-8)	reviewed	Pdcd2
PINK1_MOUSE	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	reviewed	Pink1
POLG_HCVJF	Genome polyprotein [Cleaved into: Core protein p21 (Capsid protein C) (p21); Core protein p19; Envelope glycoprotein E1 (gp32) (gp35); Envelope glycoprotein E2 (NS1) (gp68) (gp70); p7; Protease NS2-3 (p23) (EC 3.4.22.-); Serine protease NS3 (EC 3.4.21.98) (EC 3.6.1.15) (EC 3.6.4.13) (Hepacivirin) (NS3P) (p70); Non-structural protein 4A (NS4A) (p8); Non-structural protein 4B (NS4B) (p27); Non-structural protein 5A (NS5A) (p56); RNA-directed RNA polymerase (EC 2.7.7.48) (NS5B) (p68)]	reviewed	
PSA7_MOUSE	Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1)	reviewed	Psma7
PSA7_RAT	Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1)	reviewed	Psma7
PSA7_HUMAN	Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	reviewed	PSMA7
PTH2_HUMAN	Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29) (Bcl-2 inhibitor of transcription 1)	reviewed	PTRH2
PTH2_BOVIN	Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29) (Bcl-2 inhibitor of transcription)	reviewed	PTRH2
PTH2_MOUSE	Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29)	reviewed	Ptrh2
QKI_MOUSE	Protein quaking (MqkI) (qkI)	reviewed	Qki
RBP2_PANTR	E3 SUMO-protein ligase RanBP2 (EC 6.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2)	reviewed	RANBP2
RBP2_MOUSE	E3 SUMO-protein ligase RanBP2 (EC 6.3.2.-) (Ran-binding protein 2) (RanBP2)	reviewed	Ranbp2
RBP2_BOVIN	E3 SUMO-protein ligase RanBP2 (EC 6.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270) (Fragment)	reviewed	RANBP2
RBP2_HUMAN	E3 SUMO-protein ligase RanBP2 (EC 6.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)	reviewed	RANBP2
RL40_MOUSE	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	reviewed	Uba52
RL40_CANLF	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	reviewed	UBA52
RL40_SHEEP	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	reviewed	UBA52
RL40_BOVIN	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	reviewed	UBA52
RL40_RAT	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	reviewed	Uba52
RL40_FELCA	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	reviewed	UBA52
RL40_MACFA	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	reviewed	UBA52
RL40_PIG	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40]	reviewed	UBA52
RL40_HUMAN	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40]	reviewed	UBA52
RNF41_PONAB	E3 ubiquitin-protein ligase NRDP1 (EC 6.3.2.-) (RING finger protein 41)	reviewed	RNF41
RL40_PONPY	Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]	reviewed	UBA52
RNF41_HUMAN	E3 ubiquitin-protein ligase NRDP1 (EC 6.3.2.-) (RING finger protein 41)	reviewed	RNF41
RNF41_MOUSE	E3 ubiquitin-protein ligase NRDP1 (EC 6.3.2.-) (RING finger protein 41)	reviewed	Rnf41
RS27A_BOVIN	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	reviewed	RPS27A
RS27A_MOUSE	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	reviewed	Rps27a
RS27A_CAVPO	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	reviewed	RPS27A
RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	reviewed	RPS27A
RS27A_RAT	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	reviewed	Rps27a
SEPT5_RAT	Septin-5 (Cell division control-related protein 1) (CDCrel-1) (Peanut-like protein 1)	reviewed	Sept5
SEPT5_BOVIN	Septin-5	reviewed	SEPT5
SEPT5_HUMAN	Septin-5 (Cell division control-related protein 1) (CDCrel-1) (Peanut-like protein 1)	reviewed	SEPT5
SEPT5_MACFA	Septin-5	reviewed	Sept5
SEPT5_MOUSE	Septin-5 (Cell division control-related protein 1) (CDCrel-1) (Peanut-like protein 1)	reviewed	Sept5
SIAH3_HUMAN	Seven in absentia homolog 3 (Siah-3)	reviewed	SIAH3
SNCAP_MOUSE	Synphilin-1 (Alpha-synuclein-interacting protein)	reviewed	Sncaip
SNCAP_HUMAN	Synphilin-1 (Sph1) (Alpha-synuclein-interacting protein)	reviewed	SNCAIP
SUMO1_CERNI	Small ubiquitin-related modifier 1 (SUMO-1) (Sentrin)	reviewed	SUMO1
SUMO1_BOVIN	Small ubiquitin-related modifier 1 (SUMO-1)	reviewed	SUMO1
SUMO1_MOUSE	Small ubiquitin-related modifier 1 (SUMO-1) (SMT3 homolog 3) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C)	reviewed	Sumo1
SUMO1_PIG	Small ubiquitin-related modifier 1 (SUMO-1)	reviewed	SUMO1
SUMO1_HUMAN	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	reviewed	SUMO1
SUMO1_ICTTR	Small ubiquitin-related modifier 1 (SUMO-1)	reviewed	SUMO1
SUMO1_PONAB	Small ubiquitin-related modifier 1 (SUMO-1)	reviewed	SUMO1
SUMO1_RAT	Small ubiquitin-related modifier 1 (SUMO-1)	reviewed	Sumo1
SYT11_HUMAN	Synaptotagmin-11 (Synaptotagmin XI) (SytXI)	reviewed	SYT11
SYT11_RAT	Synaptotagmin-11 (Synaptotagmin XI) (SytXI)	reviewed	Syt11
SYT11_MOUSE	Synaptotagmin-11 (Synaptotagmin XI) (SytXI)	reviewed	Syt11
TDRKH_MOUSE	Tudor and KH domain-containing protein (Tudor domain-containing protein 2)	reviewed	Tdrkh
TDRKH_HUMAN	Tudor and KH domain-containing protein (Tudor domain-containing protein 2)	reviewed	TDRKH
TOM20_PONAB	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	reviewed	TOMM20
TOM7_MOUSE	Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog)	reviewed	Tomm7
TOM20_BOVIN	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	reviewed	TOMM20
TOM20_RAT	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	reviewed	Tomm20
TOM20_HUMAN	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	reviewed	TOMM20
TOM7_PIG	Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog)	reviewed	TOMM7
TOM20_MOUSE	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	reviewed	Tomm20
TOM7_BOVIN	Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog)	reviewed	TOMM7
TOM7_HUMAN	Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog)	reviewed	TOMM7
UB2L3_BOVIN	Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (Ubiquitin carrier protein L3) (Ubiquitin-protein ligase L3)	reviewed	UBE2L3
