c1.diseaseId	c1.name	c1.STY	c1.MESH	c1.diseaseClassName	c1.doName	c1.type	c1.OMIM	c2.symbol	c2.geneId	c2.uniprotId	c2.description	c2.DPI	c2.DSI	c2.pantherName	c0.score	c0.EI	c0.Npmids	c0.Nsnps	c0.source	c3.Ndiseases
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	DRD2	1813	P14416	dopamine receptor D2	0.714	0.432	receptor	0.247303713467427	0.938	41	0	ALL	279
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GSTM1	2944	P09488	glutathione S-transferase mu 1	1.0	0.357	null	0.244933486724135	0.81	25	0	ALL	589
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ATP13A2	23400	Q9NQ11	ATPase 13A2	0.286	0.6	transporter; hydrolase	0.241833302917467	0.944	43	4	ALL	53
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	TNF	7124	P01375	tumor necrosis factor	0.964	0.251	signaling molecule	0.234858233377182	0.941	21	0	ALL	1686
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ABCB1	5243	P08183	ATP binding cassette subfamily B member 1	0.893	0.357	null	0.234532349435656	0.882	18	2	ALL	587
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GSTP1	2950	P09211	glutathione S-transferase pi 1	0.929	0.375	null	0.226268099506585	0.75	13	0	ALL	491
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	MAOA	4128	P21397	monoamine oxidase A	0.607	0.464	transferase; oxidoreductase; nucleic acid binding	0.220695374641999	0.714	17	0	ALL	205
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	NQO1	1728	P15559	NAD(P)H quinone dehydrogenase 1	0.786	0.441	null	0.220406292480469	1.0	9	0	ALL	257
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GDNF	2668	P39905	glial cell derived neurotrophic factor	0.786	0.465	signaling molecule	0.220055055247556	0.986	75	1	ALL	202
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HFE	3077	Q30201	hemochromatosis	0.857	0.405	defense/immunity protein; receptor	0.21964762466246	0.778	11	3	ALL	368
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	CP	1356	P00450	ceruloplasmin	0.679	0.495	cell adhesion molecule; transfer/carrier protein; transporter; protease; enzyme modulator; oxidoreductase; hydrolase; signaling molecule; extracellular matrix protein; receptor	0.215210608714722	1.0	11	0	ALL	150
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	SOD2	6648	P04179	superoxide dismutase 2	0.964	0.398	oxidoreductase	0.214232956890145	1.0	12	1	ALL	393
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	SLC18A2	6571	Q05940	solute carrier family 18 member A2	0.571	0.54	null	0.213902487328286	1.0	16	1	ALL	96
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	NOS1	4842	P29475	nitric oxide synthase 1	0.893	0.441	null	0.211825928366857	0.875	9	0	ALL	257
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	CYP2E1	1571	P05181	cytochrome P450 family 2 subfamily E member 1	0.857	0.445	null	0.211551201582644	1.0	9	2	ALL	247
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	BST1	683	Q10588	bone marrow stromal cell antigen 1	0.321	0.75	lyase; hydrolase	0.211341987333061	0.867	17	4	ALL	12
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	IL6	3569	P05231	interleukin 6	0.964	0.275	signaling molecule	0.211276474798431	1.0	9	0	ALL	1337
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HMOX1	3162	P09601	heme oxygenase 1	0.857	0.393	oxidoreductase	0.210568964137734	1.0	13	1	ALL	411
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	VPS35	55737	Q96QK1	VPS35, retromer complex component	0.393	0.709	membrane traffic protein	0.209615437447459	0.914	36	1	ALL	18
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	SOD1	6647	P00441	superoxide dismutase 1	0.964	0.398	oxidoreductase	0.209586726692824	0.933	20	0	ALL	393
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	PARK16	100359403	null	Parkinson disease 16 (susceptibility)	0.071	0.86	null	0.208451017775976	0.955	22	0	ALL	4
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HSPA9	3313	P38646	heat shock protein family A (Hsp70) member 9	0.714	0.57	null	0.207337755261807	1.0	10	0	ALL	71
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	IGF2	3481	P01344	insulin like growth factor 2	0.821	0.377	null	0.205689394556528	0.5	3	0	ALL	484
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GAK	2580	O14976	cyclin G associated kinase	0.179	0.819	transferase; kinase; chaperone	0.205429023149632	1.0	13	2	ALL	6
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GSTA4	2941	O15217	glutathione S-transferase alpha 4	0.429	0.654	null	0.205414667772315	1.0	2	0	ALL	31
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	INS	3630	P01308	insulin	0.821	0.443	null	0.205139940988102	null	2	0	ALL	251
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	MAP3K5	4217	Q99683	mitogen-activated protein kinase kinase kinase 5	0.643	0.556	transferase; kinase	0.203831819601666	0.75	4	0	ALL	82
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	DDC	1644	P20711	dopa decarboxylase	0.714	0.524	lyase	0.20357144819477	1.0	15	0	ALL	112
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GPX1	2876	P07203	glutathione peroxidase 1	0.893	0.481	oxidoreductase	0.203007639249027	1.0	3	0	ALL	173
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HSPA1A	3303	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1A	0.857	0.487	null	0.202681755307501	1.0	2	0	ALL	162
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HLA-DRA	3122	P01903	major histocompatibility complex, class II, DR alpha	0.679	0.604	defense/immunity protein	0.202472541057918	0.889	10	1	ALL	51
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GFAP	2670	P14136	glial fibrillary acidic protein	0.786	0.464	cytoskeletal protein; structural protein	0.201648360705279	1.0	6	0	ALL	205
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	DDIT4	54541	Q9NX09	DNA damage inducible transcript 4	0.607	0.631	null	0.201098907136852	1.0	4	0	ALL	39
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	NGF	4803	P01138	nerve growth factor	0.893	0.43	signaling molecule	0.200824180352639	1.0	3	0	ALL	285
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	FBP1	2203	P09467	fructose-bisphosphatase 1	0.536	0.616	phosphatase; hydrolase	0.200274726784213	1.0	2	0	ALL	45
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HGF	3082	P14210	hepatocyte growth factor	0.786	0.384	protease; enzyme modulator; hydrolase; signaling molecule; calcium-binding protein; receptor	0.200274726784213	1.0	1	0	ALL	450
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	IGF2R	3482	P11717	insulin like growth factor 2 receptor	0.75	0.519	receptor	0.200274726784213	1.0	2	0	ALL	118
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	INSR	3643	P06213	insulin receptor	0.714	0.43	null	0.200274726784213	1.0	2	0	ALL	287
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	EDN1	1906	P05305	endothelin 1	0.857	0.398	null	0.2	null	1	0	ALL	393
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	AIF1	199	P55008	allograft inflammatory factor 1	0.714	0.602	calcium-binding protein	0.2	null	1	0	ALL	52
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	FGB	2244	P02675	fibrinogen beta chain	0.714	0.514	signaling molecule	0.2	null	1	0	ALL	124
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	TMEM230	29058	Q96A57	transmembrane protein 230	0.036	1.0	null	0.2	null	1	0	ALL	1
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	KCNJ4	3761	P48050	potassium voltage-gated channel subfamily J member 4	0.179	0.819	null	0.2	null	1	0	ALL	6
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	MAG	4099	P20916	myelin associated glycoprotein	0.5	0.612	cell adhesion molecule; defense/immunity protein; signaling molecule; structural protein; receptor	0.2	null	1	0	ALL	47
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	SLC30A10	55532	Q6XR72	solute carrier family 30 member 10	0.571	0.591	transporter	0.2	null	1	0	ALL	58
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	RPL6	6128	Q02878	ribosomal protein L6	0.143	0.804	nucleic acid binding	0.2	null	1	0	ALL	7
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	RPL23A	6147	P62750	ribosomal protein L23a	0.107	0.86	nucleic acid binding	0.2	null	1	0	ALL	4
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	RPS8	6202	P62241	ribosomal protein S8	0.214	0.838	null	0.2	null	1	0	ALL	5
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	TALDO1	6888	P37837	transaldolase 1	0.679	0.562	null	0.2	null	1	0	ALL	77
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	RPL14	9045	P50914	ribosomal protein L14	0.286	0.741	null	0.2	null	1	0	ALL	13
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	IL1B	3553	P01584	interleukin 1 beta	0.964	0.3	signaling molecule	0.109052169128711	0.571	14	0	ALL	1042
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GSK3B	2932	P49841	glycogen synthase kinase 3 beta	0.75	0.489	transferase; kinase	0.0927012658768088	1.0	13	2	ALL	159
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	APOE	348	P02649	apolipoprotein E	0.964	0.321	null	0.0890571484729472	0.898	67	1	ALL	845
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ND3	4537	P03897	NADH dehydrogenase, subunit 3 (complex I)	0.393	0.668	null	0.0853635106150022	1.0	5	0	ALL	27
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HTR1A	3350	P08908	5-hydroxytryptamine receptor 1A	0.75	0.517	receptor	0.0830076392490268	1.0	3	0	ALL	121
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HSPA4	3308	P34932	heat shock protein family A (Hsp70) member 4	0.857	0.426	null	0.0819230874894917	1.0	8	0	ALL	296
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	PENK	5179	P01210	proenkephalin	0.714	0.569	signaling molecule	0.0808241803526393	1.0	4	0	ALL	72
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GDF5	8200	P43026	growth differentiation factor 5	0.5	0.468	signaling molecule	0.0805494535684262	1.0	3	0	ALL	196
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ABL1	25	P00519	ABL proto-oncogene 1, non-receptor tyrosine kinase	0.786	0.465	transferase; kinase	0.0802747267842131	1.0	1	0	ALL	201
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ARPC3	10094	O15145	actin related protein 2/3 complex subunit 3	0.107	0.93	cytoskeletal protein	0.08	null	1	0	ALL	2
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	DBN1	1627	Q16643	drebrin 1	0.429	0.688	cytoskeletal protein	0.08	null	1	0	ALL	22
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HSF1	3297	Q00613	heat shock transcription factor 1	0.786	0.541	null	0.08	null	2	0	ALL	95
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HSPD1	3329	P10809	heat shock protein family D (Hsp60) member 1	0.786	0.465	chaperone	0.08	null	1	0	ALL	201
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	LEP	3952	P41159	leptin	0.857	0.379	null	0.08	null	1	0	ALL	474
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HCN3	57657	Q9P1Z3	hyperpolarization activated cyclic nucleotide gated potassium channel 3	0.143	0.889	transporter; receptor	0.08	null	1	0	ALL	3
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	PPP1R9B	84687	Q96SB3	protein phosphatase 1 regulatory subunit 9B	0.321	0.688	null	0.08	null	1	0	ALL	22
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	UCHL1	7345	P09936	ubiquitin C-terminal hydrolase L1	0.643	0.501	protease; hydrolase	0.0722033631895986	0.981	59	2	ALL	141
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	COMT	1312	P21964	catechol-O-methyltransferase	0.929	0.378	transferase	0.0656800185234467	1.0	44	5	ALL	479
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	NR4A2	4929	P43354	nuclear receptor subfamily 4 group A member 2	0.75	0.529	transcription factor; receptor	0.0551576259226929	0.962	31	1	ALL	107
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GIGYF2	26058	Q6Y7W6	GRB10 interacting GYF protein 2	0.179	0.779	null	0.0333311279841783	0.6	20	5	ALL	9
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	NAT2	10	P11245	N-acetyltransferase 2	0.857	0.43	transferase	0.0320086512204254	1.0	16	0	ALL	285
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	SNCAIP	9627	Q9Y6H5	synuclein alpha interacting protein	0.464	0.623	null	0.031362067474026	1.0	32	4	ALL	42
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	MTHFR	4524	P42898	methylenetetrahydrofolate reductase	0.964	0.325	transferase; oxidoreductase; lyase	0.0311844708677861	1.0	14	0	ALL	811
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	FGF20	26281	Q9NP95	fibroblast growth factor 20	0.393	0.651	signaling molecule	0.0300298209532885	0.857	10	3	ALL	32
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	DRD3	1814	P35462	dopamine receptor D3	0.571	0.512	receptor	0.026817553075011	0.9	16	1	ALL	127
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	TH	7054	P07101	tyrosine hydroxylase	0.75	0.48	null	0.0255335568228773	0.974	42	1	ALL	174
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HTRA2	27429	O43464	HtrA serine peptidase 2	0.5	0.628	protease; chaperone; hydrolase	0.0233213871718553	1.0	21	4	ALL	40
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	FMR1	2332	Q06787	fragile X mental retardation 1	0.75	0.429	nucleic acid binding	0.0229299906956996	0.909	13	0	ALL	289
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	PON1	5444	P27169	paraoxonase 1	0.893	0.42	null	0.022878833538387	0.833	17	2	ALL	317
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GSTT1	2952	P30711	glutathione S-transferase theta 1	1.0	0.369	oxidoreductase; signaling molecule; cytoskeletal protein; transferase; isomerase; nucleic acid binding	0.0227621638464444	0.5	12	0	ALL	521
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	NQO2	4835	P16083	N-ribosyldihydronicotinamide:quinone reductase 2	0.464	0.596	null	0.0189769157817583	1.0	5	0	ALL	55
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	SLC6A4	6532	P31645	solute carrier family 6 member 4	0.929	0.398	transporter	0.0179992639571811	1.0	9	1	ALL	393
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ATXN2	6311	Q99700	ataxin 2	0.679	0.507	nucleic acid binding	0.0175664800806974	0.778	13	0	ALL	133
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ATXN3	4287	P54252	ataxin 3	0.571	0.522	transcription factor	0.0166911425707455	0.857	10	0	ALL	115
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	PITX3	5309	O75364	paired like homeodomain 3	0.357	0.636	transcription factor; nucleic acid binding	0.0153318640269972	0.917	12	2	ALL	37
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	IL1A	3552	P01583	interleukin 1 alpha	0.964	0.345	signaling molecule	0.0149916247081542	0.5	6	0	ALL	667
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	DBH	1621	P09172	dopamine beta-hydroxylase	0.607	0.52	null	0.0140093872632444	0.667	7	4	ALL	117
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	TBP	6908	P20226	TATA-box binding protein	0.75	0.523	transcription factor; nucleic acid binding	0.0137346604790313	0.8	7	0	ALL	114
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	LINGO1	84894	Q96FE5	leucine rich repeat and Ig domain containing 1	0.286	0.727	extracellular matrix protein; receptor	0.0134742890721354	0.857	16	2	ALL	15
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	CCK	885	P06307	cholecystokinin	0.607	0.506	signaling molecule	0.0132363640679177	1.0	3	0	ALL	135
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	PARK10	170534	null	Parkinson disease 10 (susceptibility)	0.036	0.889	null	0.0127012658768088	0.9	12	0	ALL	3
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	POLG	5428	P54098	DNA polymerase gamma, catalytic subunit	0.786	0.434	transferase; nucleic acid binding	0.0124265390925957	0.889	10	4	ALL	276
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	SERPINA3	12	P01011	serpin family A member 3	0.714	0.533	enzyme modulator	0.0123610265579658	null	4	0	ALL	103
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ND2	4536	P03891	MTND2	0.571	0.578	oxidoreductase	0.0123610265579658	null	5	0	ALL	66
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	LRRK1	79705	Q38SD2	leucine rich repeat kinase 1	0.036	0.86	transferase; kinase	0.0119793998387948	1.0	6	0	ALL	4
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ELAVL4	1996	P26378	ELAV like RNA binding protein 4	0.214	0.721	null	0.0113787891130559	1.0	4	2	ALL	16
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ESR2	2100	Q92731	estrogen receptor 2	0.821	0.424	transcription factor; receptor; nucleic acid binding	0.0113276319557433	0.8	6	1	ALL	303
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	GCH1	2643	P30793	GTP cyclohydrolase 1	0.714	0.479	hydrolase	0.0111184177061601	1.0	14	1	ALL	175
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	CXCL8	3576	P10145	C-X-C motif chemokine ligand 8	0.893	0.328	signaling molecule	0.0108293355446297	1.0	4	0	ALL	788
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	ACE	1636	P12821	angiotensin I converting enzyme	0.929	0.33	null	0.0102287248188909	1.0	4	0	ALL	773
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	SEMA5A	9037	Q13591	semaphorin 5A	0.429	0.608	signaling molecule	0.0102287248188909	1.0	3	2	ALL	49
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	HTR2A	3356	P28223	5-hydroxytryptamine receptor 2A	0.75	0.454	receptor	0.0099028408773651	1.0	5	1	ALL	226
C0030567	Parkinson Disease	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	FYN	2534	P06241	FYN proto-oncogene, Src family tyrosine kinase	0.679	0.582	transferase; kinase	0.0098246516970417	0.963	28	0	ALL	63
