c0.source	c0.geneId	c0.associationType	c0.originalSource	c0.sentence	c0.pmid	c1.pantherName	c1.symbol	c1.description	c2.diseaseId	c2.name	c2.hpoName	c2.STY	c2.MESH	c2.diseaseClassName	c2.doName	c2.type	c2.OMIM	c3.score	c4.year
ALL	120892	GeneticVariation	GAD	Huntington CAG repeat size does not modify onset age in familial Parkinson's disease: the GenePD study.	18649400	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2009
ALL	120892	GeneticVariation	BEFREE	The <span class= gene  id= 17433753-1-4-32 >Leucine-rich repeat kinase 2</span> (<span class= gene  id= 17433753-1-34-39 >LRRK2</span>) gene has been identified as a disease susceptibility gene for <span class= disease  id= 17433753-1-103-122 >Parkinson's disease</span> (<span class= disease  id= 17433753-1-124-126 >PD</span>), with G2019 (6055G&gt;A) being the most frequent mutation.	17433753	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	Biomarker	BEFREE	<span class= gene  id= 18986509-0-0-5 >LRRK2</span> in <span class= disease  id= 18986509-0-9-28 >Parkinson's disease</span> - drawing the curtain of penetrance: a commentary.	18986509	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2008
ALL	120892	GeneticVariation	BEFREE	Clinical findings, disease course and genetic tests for the <span class= gene  id= 18665323-2-60-65 >LRRK2</span> 6055G &gt; A (<span class= variant  dbSNP= rs34637584  genes_norm= 120892 >G2019S</span>) mutation were compared between Ashkenazi and Yemenite Israeli patients with <span class= disease  id= 18665323-2-161-180 >Parkinson's disease</span> (<span class= disease  id= 18665323-2-182-184 >PD</span>).	18665323	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2008
ALL	120892	GeneticVariation	BEFREE	Protective effect of <span class= gene  id= 23962496-0-21-26 >LRRK2</span> <span class= variant  dbSNP= rs7133914  genes_norm= 120892 >p.R1398H</span> on risk of <span class= disease  id= 23962496-0-47-66 >Parkinson's disease</span> is independent of MAPT and SNCA variants.	23962496	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2013
ALL	120892	GeneticVariation	BEFREE	Roco kinase structures give insights into the mechanism of <span class= disease  id= 22689969-0-59-76 >Parkinson disease</span>-related <span class= gene  id= 22689969-0-85-113 >leucine-rich-repeat kinase 2</span> mutations.	22689969	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2012
ALL	120892	GeneticVariation	BEFREE	Independent occurrence of <span class= variant  dbSNP= rs35870237  genes_norm= 120892 >I2020T</span> mutation in the kinase domain of the <span class= gene  id= 17395370-0-70-98 >leucine rich repeat kinase 2</span> gene in Japanese and German <span class= disease  id= 17395370-0-127-146 >Parkinson's disease</span> families.	17395370	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	GeneticVariation	BEFREE	<span class= variant  dbSNP= rs34637584  genes_norm= 120892 >G2019S</span> <span class= gene  id= 17044089-0-7-12 >LRRK2</span> mutation in familial and sporadic <span class= disease  id= 17044089-0-47-66 >Parkinson's disease</span> in Russia.	17044089	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	GeneticVariation	BEFREE	Here, we critically review the most current data on how <span class= gene  id= 25888648-6-56-61 >LRRK2</span> mutations influence neurotoxicity in <span class= disease  id= 25888648-6-99-101 >PD</span> models.	25888648	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2015
ALL	120892	Biomarker	BEFREE	Clinical and pathologic features of families with <span class= gene  id= 17017533-0-50-55 >LRRK2</span>-associated <span class= disease  id= 17017533-0-67-86 >Parkinson's disease</span>.	17017533	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2006
ALL	120892	GeneticVariation	GAD	LRRK2 mutations in Spanish patients with Parkinson disease	16533964	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2006
ALL	120892	GeneticVariation	BEFREE	We investigated the seven common mutations spanning exons 31, 35, and 41 reported in the <span class= gene  id= 20722494-2-89-94 >LRRK2</span> gene among Eastern Indian patients with <span class= disease  id= 20722494-2-135-137 >PD</span>.	20722494	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2011
ALL	120892	GeneticVariation	LHGDN	<span class=gene id=16333314>LRRK2</span> mutations are frequent in autosomal dominant <span class=disease id=16333314>Parkinson's disease</span>, and they cluster in the C-terminal half of the encoded protein	16333314	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2006
ALL	120892	Biomarker	BEFREE	Alpha-synuclein (SNCA) and Leucine-rich repeat kinase2 (<span class= gene  id= 24777780-2-56-61 >LRRK2</span>) have been implicated in the pathogenesis of <span class= disease  id= 24777780-2-107-126 >Parkinson's disease</span> (<span class= disease  id= 24777780-2-128-130 >PD</span>), the prototype of LB spectrum disorders.	24777780	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2015
ALL	120892	GeneticVariation	BEFREE	A novel <span class= variant  dbSNP= rs34410987  genes_norm= 120892 >P755L</span> mutation in <span class= gene  id= 17179858-0-26-31 >LRRK2</span> gene associated with <span class= disease  id= 17179858-0-53-72 >Parkinson's disease</span>.	17179858	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	GeneticVariation	GAD	Genotype-phenotype correlations between GBA mutations and Parkinson disease risk and onset.	18434642	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2008
ALL	120892	GeneticVariation	BEFREE	Higher frequency of certain cancers in <span class= gene  id= 25401981-0-39-44 >LRRK2</span> <span class= variant  dbSNP= rs34637584  genes_norm= 120892 >G2019S</span> mutation carriers with <span class= disease  id= 25401981-0-75-92 >Parkinson disease</span>: a pooled analysis.	25401981	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2015
ALL	120892	GeneticVariation	GAD	Structural imaging in the presymptomatic stage of genetically determined parkinsonism.	20483373	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2010
ALL	120892	Biomarker	LHGDN	LRRK2 is directly associated with the pathological structures of Parkinson's disease, dementia with Lewy bodies, and other related disorders using highly specific antibodies to LRRK2.	18322396	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2008
ALL	120892	AlteredExpression	BEFREE	The <span class= disease  id= 19302196-0-4-21 >Parkinson disease</span>-associated protein kinase <span class= gene  id= 19302196-0-48-53 >LRRK2</span> exhibits MAPKKK activity and phosphorylates MKK3/6 and MKK4/7, in vitro.	19302196	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2009
ALL	120892	GeneticVariation	BEFREE	CSF Nrf2 and HSPA8 in <span class= disease  id= 26526034-0-22-41 >Parkinson's disease</span> patients with and without <span class= gene  id= 26526034-0-68-73 >LRRK2</span> gene mutations.	26526034	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2015
ALL	120892	AlteredExpression	BEFREE	Taken together our data demonstrate the functional involvement of <span class= gene  id= 19640926-9-66-71 >LRRK2</span> in the endosomal-autophagic pathway and the recruitment to specific membrane microdomains in a physiological human gene expression model suggesting a novel function for this important <span class= disease  id= 19640926-9-256-258 >PD</span>-related protein.	19640926	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2010
ALL	120892	GeneticVariation	BEFREE	Analysis of the <span class= gene  id= 26600626-0-16-21 >LRRK2</span> <span class= variant  dbSNP= rs34637584  genes_norm= 120892 >p.G2019S</span> mutation in Colombian <span class= disease  id= 26600626-0-53-72 >Parkinson's Disease</span> Patients.	26600626	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2016
ALL	120892	Biomarker	BEFREE	The <span class= disease  id= 21866175-0-4-23 >Parkinson's disease</span> protein <span class= gene  id= 21866175-0-32-37 >LRRK2</span> impairs proteasome substrate clearance without affecting proteasome catalytic activity.	21866175	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2011
ALL	120892	GeneticVariation	BEFREE	Low frequency of common <span class= gene  id= 20727385-0-24-29 >LRRK2</span> mutations in Mexican patients with <span class= disease  id= 20727385-0-65-84 >Parkinson's disease</span>.	20727385	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2010
ALL	120892	GeneticVariation	BEFREE	The association between the <span class= gene  id= 25027012-0-28-33 >LRRK2</span> <span class= variant  dbSNP= rs34778348  genes_norm= 120892 >G2385R</span> variant and the risk of <span class= disease  id= 25027012-0-65-84 >Parkinson's disease</span>: a meta-analysis based on 23 case-control studies.	25027012	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2014
ALL	120892	GeneticVariation	GAD	LRRK2 is not a significant cause of Parkinson's disease in French-Canadians.	17803032	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	Biomarker	BEFREE	Alterations in late endocytic trafficking related to the pathobiology of <span class= gene  id= 26009181-0-73-78 >LRRK2</span>-linked <span class= disease  id= 26009181-0-86-105 >Parkinson's disease</span>.	26009181	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2016
ALL	120892	GeneticVariation	GAD	The leucine rich repeat kinase 2 (LRRK2) G2019S substitution mutation. Association with Parkinson disease, malignant melanoma and prevalence in ethnic groups in Israel.	19412725	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2008
ALL	120892	GeneticVariation	BEFREE	<span class= gene  id= 16643318-0-0-5 >LRRK2</span> mutations are a common cause of <span class= disease  id= 16643318-0-38-57 >Parkinson's disease</span> in Spain.	16643318	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2006
ALL	120892	GeneticVariation	BEFREE	Validity and utility of a <span class= gene  id= 17020475-0-26-31 >LRRK2</span> <span class= variant  dbSNP= rs34637584  genes_norm= 120892 >G2019S</span> mutation test for the diagnosis of <span class= disease  id= 17020475-0-74-93 >Parkinson's disease</span>.	17020475	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	GeneticVariation	BEFREE	By comparing results of a GWAS performed on individuals of European ancestry, we identified PARK16, SNCA and <span class= gene  id= 19915576-4-109-114 >LRRK2</span> as shared risk loci for <span class= disease  id= 19915576-4-139-141 >PD</span> and BST1 and MAPT as loci showing population differences.	19915576	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2009
ALL	120892	GeneticVariation	LHGDN	G2019S dardarin substitution is a common cause of Parkinson's disease in a Portuguese cohort.	16149095	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2006
ALL	120892	GeneticVariation	BEFREE	Do interactions between SNCA, MAPT, and <span class= gene  id= 21816655-0-40-45 >LRRK2</span> genes contribute to <span class= disease  id= 21816655-0-66-85 >Parkinson's disease</span> susceptibility?	21816655	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2011
ALL	120892	GeneticVariation	BEFREE	<span class= gene  id= 24148854-0-0-5 >LRRK2</span> mutations cause mitochondrial DNA damage in iPSC-derived neural cells from <span class= disease  id= 24148854-0-81-100 >Parkinson's disease</span> patients: reversal by gene correction.	24148854	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2013
ALL	120892	GeneticVariation	BEFREE	The disposition of A&beta; and tau is likely important in both <span class= gene  id= 22170881-7-58-63 >LRRK2</span>-related and sporadic <span class= disease  id= 22170881-7-85-87 >PD</span>, even during early phases of the disease.	22170881	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2012
ALL	120892	GeneticVariation	BEFREE	The <span class= gene  id= 17938369-0-4-9 >LRRK2</span> <span class= variant  dbSNP= rs34637584  genes_norm= 120892 >G2019S</span> mutation in Ashkenazi Jews with <span class= disease  id= 17938369-0-49-66 >Parkinson disease</span>: is there a gender effect?	17938369	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	GeneticVariation	BEFREE	PARK16 SNPs were associated with a decreased risk while PARK1 and <span class= gene  id= 20697102-5-66-71 >PARK8</span> SNPs were associated with an increased risk of <span class= disease  id= 20697102-5-119-121 >PD</span>.	20697102	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2010
ALL	120892	GeneticVariation	GAD	A comparative study of LRRK2, PINK1 and genetically undefined familial Parkinson disease.	19726410	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2010
ALL	120892	GeneticVariation	BEFREE	<span class= gene  id= 26268594-1-0-28 >Leucine-rich repeat kinase 2</span> (<span class= gene  id= 26268594-1-30-35 >LRRK2</span>) and tau have been identified as risk factors of <span class= disease  id= 26268594-1-85-104 >Parkinson's disease</span> (<span class= disease  id= 26268594-1-106-108 >PD</span>).	26268594	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2015
ALL	120892	GeneticVariation	LHGDN	<span class=gene id=17470139>LRRK2</span> G6055A mutation in Italian patients with familial or sporadic <span class=disease id=17470139>Parkinson's disease</span>.	17470139	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	GeneticVariation	BEFREE	Brain-derived neurotrophic factor (BDNF) genetic polymorphism greatly increases risk of <span class= gene  id= 21924942-0-88-116 >leucine-rich repeat kinase 2</span> (<span class= gene  id= 21924942-0-118-123 >LRRK2</span>) for <span class= disease  id= 21924942-0-129-148 >Parkinson's disease</span>.	21924942	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2011
ALL	120892	Biomarker	BEFREE	Chemoproteomics-based design of potent <span class= gene  id= 21812418-0-39-44 >LRRK2</span>-selective lead compounds that attenuate <span class= disease  id= 21812418-0-85-104 >Parkinson's disease</span>-related toxicity in human neurons.	21812418	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2012
ALL	120892	Biomarker	BEFREE	The proteins that are reported to be related to familial <span class= disease  id= 20035637-6-57-59 >PD</span>-PTEN-induced putative kinase 1 (PINK1), DJ-1, alpha- synuclein, <span class= gene  id= 20035637-6-124-152 >leucine-rich repeat kinase 2</span> (<span class= gene  id= 20035637-6-154-159 >LRRK2</span>), and, possibly, parkin-are either mitochondrial proteins or are associated with mitochondria, and all are involved in pathways that elicit oxidative stress or free radical damage.	20035637	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2010
ALL	120892	GeneticVariation	BEFREE	The objectives of this study were to identify <span class= disease  id= 25732803-2-46-48 >PD</span> subtypes using cluster analysis (CA) and to determine the association between the subtypes and the polymorphisms in <span class= gene  id= 25732803-2-165-170 >LRRK2</span> (<span class= variant  dbSNP= rs34778348  genes_norm= 120892 >G2385R</span> and <span class= variant  dbSNP= rs33949390  genes_norm= 120892 >R1628P</span>) and GBA (<span class= variant  dbSNP= NA  genes_norm= NA >L444P</span>) genes.	25732803	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2015
ALL	120892	AlteredExpression	BEFREE	RNA interference of <span class= gene  id= 18097693-0-20-25 >LRRK2</span>-microarray expression analysis of a <span class= disease  id= 18097693-0-62-81 >Parkinson's disease</span> key player.	18097693	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	Biomarker	BEFREE	Our study suggests that there is a higher chance to detect associations between <span class= disease  id= 24040382-5-80-82 >PD</span> and those trait-associated SNPs of <span class= gene  id= 24040382-5-118-123 >LRRK2</span> gene found in Caucasian studies in INS, while those found in Japanese studies are likely to be better replicated among CHB.	24040382	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2013
ALL	120892	GeneticVariation	BEFREE	The function of orthologues of the human <span class= disease  id= 26811536-0-41-60 >Parkinson's disease</span> gene <span class= gene  id= 26811536-0-66-71 >LRRK2</span> across species: implications for disease modelling in preclinical research.	26811536	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2016
ALL	120892	GeneticVariation	BEFREE	Mutations in <span class= gene  id= 16632201-1-13-41 >leucine-rich repeat kinase 2</span> gene (<span class= gene  id= 16632201-1-48-53 >LRRK2</span>) have been associated with <span class= disease  id= 16632201-1-81-111 >idiopathic Parkinson's disease</span> (<span class= disease  id= 16632201-1-113-115 >PD</span>), as well as pleomorphic neurodegenerative pathology, including Alzheimer's disease.	16632201	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2006
ALL	120892	GeneticVariation	GAD	Association between GBA L444P mutation and sporadic Parkinson's disease from Mainland China.	20004703	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2009
ALL	120892	GeneticVariation	BEFREE	To isolate and identify the potential binding partners of <span class= gene  id= 19001729-1-58-63 >LRRK2</span>, a gene linked to both dominant familial form and sporadic form of <span class= disease  id= 19001729-1-131-150 >Parkinson's disease</span>, thus to further our knowledge of its function.	19001729	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2009
ALL	120892	GeneticVariation	BEFREE	The <span class= gene  id= 19412725-0-4-32 >leucine rich repeat kinase 2</span> (<span class= gene  id= 19412725-0-34-39 >LRRK2</span>) <span class= variant  dbSNP= rs34637584  genes_norm= 120892 >G2019S</span> substitution mutation. Association with <span class= disease  id= 19412725-0-88-105 >Parkinson disease</span>, malignant melanoma and prevalence in ethnic groups in Israel.	19412725	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2008
ALL	120892	GeneticVariation	BEFREE	<span class= disease  id= 24591621-0-0-17 >Parkinson disease</span>-associated mutation <span class= variant  dbSNP= rs34995376  genes_norm= 120892 >R1441H</span> in <span class= gene  id= 24591621-0-48-53 >LRRK2</span> prolongs the  active state  of its GTPase domain.	24591621	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2014
ALL	120892	GeneticVariation	BEFREE	<span class= variant  dbSNP= rs34637584  genes_norm= 120892 >G2019S</span> <span class= gene  id= 16240353-0-7-12 >LRRK2</span> mutation in French and North African families with <span class= disease  id= 16240353-0-64-83 >Parkinson's disease</span>.	16240353	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2006
